VES_name

Model
D	Ro
0.33333	1.8316
0.3047	1.8316
0.3047	33.952
0.57878	33.952
0.57878	0.56353
1.0258	0.56353
1.0258	1.5968
1.4262	1.5968
1.4262	16.634
2.823	16.634
2.823	6.5515
3.6277	6.5515
3.6277	0.60579
5.8725	0.60579
5.8725	1.029
8.0308	1.029
8.0308	15.033
12.999	15.033
12.999	4.1569
16.323	4.1569
16.323	0.30322
48.97	0.30322

Field curve
AB/2	App.Resistivity
1	4.2
2	5.4
3	4.85
4	4.5
5	4.03
8	3.76
10	3.78
15	3.47
20	3.09
25	2.96
30	2.85
40	2.59

Synthetic curve
AB/2	App.Resistivity
1	4.2916
1.3895	4.9454
1.9307	5.2621
2.6827	5.1017
3.7276	4.569
5.1795	4.0283
7.1969	3.7806
10	3.719
13.895	3.541
19.307	3.1985
26.827	2.8799
37.276	2.6669
